"Indexcd","Trddt","Opnidx","Highidx","Lowidx","Clsidx","Vol","Value"
"DJI","2014-01-02","16572.17","16573.07","16416.49","16441.35","8096.00","-0.008163"
"DJI","2014-01-03","16456.89","16518.74","16439.30","16469.99","7277.00","0.001742"
"DJI","2014-01-06","16474.04","16532.99","16405.52","16425.10","8938.00","-0.002726"
"DJI","2014-01-07","16429.02","16562.32","16429.02","16530.94","8127.00","0.006444"
"DJI","2014-01-08","16527.66","16528.88","16416.69","16462.74","10326.00","-0.004126"
"DJI","2014-01-09","16471.41","16525.35","16378.61","16444.76","8399.00","-0.001092"
"DJI","2014-01-10","16453.62","16487.65","16379.02","16437.05","8519.00","-0.000469"
"DJI","2014-01-13","16434.03","16453.13","16240.60","16257.94","11168.00","-0.010897"
"DJI","2014-01-14","16261.99","16373.92","16260.83","16373.86","9861.00","0.007130"
"DJI","2014-01-15","16378.03","16505.28","16376.78","16481.94","10113.00","0.006601"
"DJI","2014-01-16","16477.70","16477.70","16375.56","16417.01","8737.00","-0.003939"
"DJI","2014-01-17","16408.02","16495.26","16378.80","16458.56","18497.00","0.002531"
"DJI","2014-01-21","16459.27","16520.60","16316.25","16414.44","11157.00","-0.002681"
"DJI","2014-01-22","16420.48","16453.49","16332.98","16373.34","8747.00","-0.002504"
"DJI","2014-01-23","16371.99","16372.96","16140.58","16197.35","10054.00","-0.010749"
"DJI","2014-01-24","16203.29","16203.29","15879.11","15879.11","14145.00","-0.019648"
"DJI","2014-01-27","15879.05","15942.77","15783.55","15837.88","12754.00","-0.002596"
"DJI","2014-01-28","15840.84","15945.89","15840.84","15928.56","8911.00","0.005726"
"DJI","2014-01-29","15927.08","15927.08","15708.98","15738.79","10959.00","-0.011914"
"DJI","2014-01-30","15743.03","15907.53","15733.27","15848.61","9210.00","0.006978"
"DJI","2014-01-31","15847.19","15847.19","15617.55","15698.85","13709.00","-0.009449"
"DJI","2014-02-03","15697.69","15708.54","15356.17","15372.80","15105.00","-0.020769"
"DJI","2014-02-04","15372.93","15481.85","15356.62","15445.24","12411.00","0.004712"
"DJI","2014-02-05","15443.00","15478.21","15340.69","15440.23","10513.00","-0.000324"
"DJI","2014-02-06","15443.83","15632.09","15443.00","15628.53","10698.00","0.012195"
"DJI","2014-02-07","15630.64","15798.51","15625.53","15794.08","10578.00","0.010593"
"DJI","2014-02-10","15793.63","15801.79","15733.69","15801.79","8411.00","0.000488"
"DJI","2014-02-11","15804.17","16027.19","15803.40","15994.77","9593.00","0.012213"
"DJI","2014-02-12","15993.04","16036.56","15928.75","15963.94","7731.00","-0.001928"
"DJI","2014-02-13","15946.99","16039.37","15863.25","16027.59","9947.00","0.003987"
"DJI","2014-02-14","16018.08","16175.55","15985.39","16154.39","8406.00","0.007911"
"DJI","2014-02-18","16153.97","16167.33","16107.04","16130.40","9125.00","-0.001485"
"DJI","2014-02-19","16126.23","16225.72","16031.66","16040.56","8056.00","-0.005570"
"DJI","2014-02-20","16044.15","16161.64","16006.59","16133.23","7772.00","0.005777"
"DJI","2014-02-21","16135.92","16191.92","16093.80","16103.30","12658.00","-0.001855"
"DJI","2014-02-24","16102.27","16300.04","16102.27","16207.14","24458.00","0.006448"
"DJI","2014-02-25","16207.34","16254.26","16147.25","16179.66","9947.00","-0.001696"
"DJI","2014-02-26","16180.36","16252.35","16155.86","16198.41","9398.00","0.001159"
"DJI","2014-02-27","16197.70","16276.28","16159.81","16272.65","9764.00","0.004583"
"DJI","2014-02-28","16273.23","16398.95","16226.09","16321.71","12211.00","0.003015"
"DJI","2014-03-03","16321.71","16321.71","16071.25","16168.03","9276.00","-0.009416"
"DJI","2014-03-04","16169.32","16419.49","16169.32","16395.88","9612.00","0.014093"
"DJI","2014-03-05","16395.88","16406.55","16343.96","16360.18","7398.00","-0.002177"
"DJI","2014-03-06","16360.56","16450.17","16360.56","16421.89","7590.00","0.003772"
"DJI","2014-03-07","16424.53","16505.70","16398.86","16452.72","8069.00","0.001877"
"DJI","2014-03-10","16453.10","16453.10","16334.20","16418.68","6821.00","-0.002069"
"DJI","2014-03-11","16419.39","16460.33","16325.17","16351.25","7815.00","-0.004107"
"DJI","2014-03-12","16350.67","16364.74","16260.03","16340.08","7790.00","-0.000683"
"DJI","2014-03-13","16341.55","16405.07","16084.10","16108.89","8616.00","-0.014149"
"DJI","2014-03-14","16106.32","16165.05","16046.99","16065.67","8566.00","-0.002683"
"DJI","2014-03-17","16066.37","16270.34","16066.37","16247.22","8893.00","0.011300"
"DJI","2014-03-18","16245.93","16369.94","16245.93","16336.19","7914.00","0.005476"
"DJI","2014-03-19","16335.71","16363.32","16126.29","16222.17","9011.00","-0.006980"
"DJI","2014-03-20","16221.98","16353.98","16160.33","16331.05","9153.00","0.006712"
"DJI","2014-03-21","16332.69","16456.45","16290.79","16302.77","35367.00","-0.001732"
"DJI","2014-03-24","16303.28","16380.51","16215.56","16276.69","11062.00","-0.001600"
"DJI","2014-03-25","16279.20","16407.18","16279.20","16367.88","8911.00","0.005602"
"DJI","2014-03-26","16370.71","16466.04","16268.99","16268.99","9277.00","-0.006042"
"DJI","2014-03-27","16268.67","16300.94","16191.79","16264.23","9365.00","-0.000293"
"DJI","2014-03-28","16267.77","16414.86","16267.77","16323.06","8637.00","0.003617"
"DJI","2014-03-31","16324.22","16480.85","16324.22","16457.66","10451.00","0.008246"
"DJI","2014-04-01","16458.05","16565.73","16457.60","16532.61","8801.00","0.004554"
"DJI","2014-04-02","16532.80","16588.19","16506.60","16573.00","7812.00","0.002443"
"DJI","2014-04-03","16572.36","16604.15","16527.60","16572.55","7722.00","-0.000027"
"DJI","2014-04-04","16576.02","16631.63","16392.77","16412.71","10435.00","-0.009645"
"DJI","2014-04-07","16414.15","16421.38","16244.01","16245.87","11654.00","-0.010165"
"DJI","2014-04-08","16245.16","16296.86","16180.28","16256.14","9851.00","0.000632"
"DJI","2014-04-09","16256.37","16438.82","16256.37","16437.18","9155.00","0.011137"
"DJI","2014-04-10","16437.24","16456.12","16153.34","16170.22","11255.00","-0.016241"
"DJI","2014-04-11","16168.87","16168.87","16015.32","16026.75","11955.00","-0.008872"
"DJI","2014-04-14","16028.29","16184.76","16028.29","16173.24","9002.00","0.009140"
"DJI","2014-04-15","16173.49","16272.95","16063.20","16262.56","9785.00","0.005523"
"DJI","2014-04-16","16266.23","16424.85","16266.23","16424.85","9465.00","0.009979"
"DJI","2014-04-17","16424.14","16460.49","16368.14","16408.54","13619.00","-0.000993"
"DJI","2014-04-21","16408.92","16459.78","16402.08","16449.25","7950.00","0.002481"
"DJI","2014-04-22","16449.38","16565.71","16449.38","16514.37","8483.00","0.003959"
"DJI","2014-04-23","16513.73","16525.99","16477.28","16501.65","7683.00","-0.000770"
"DJI","2014-04-24","16503.39","16541.26","16452.30","16501.65","8034.00","0.000000"
"DJI","2014-04-25","16503.26","16503.26","16333.78","16361.46","9063.00","-0.008496"
"DJI","2014-04-28","16363.20","16500.37","16312.66","16448.74","10551.00","0.005334"
"DJI","2014-04-29","16451.18","16559.39","16451.18","16535.37","7124.00","0.005267"
"DJI","2014-04-30","16534.86","16592.28","16510.87","16580.84","9297.00","0.002750"
"DJI","2014-05-01","16580.26","16604.79","16525.25","16558.87","7563.00","-0.001325"
"DJI","2014-05-02","16562.34","16620.06","16488.31","16512.89","7891.00","-0.002777"
"DJI","2014-05-05","16509.75","16547.92","16377.09","16530.55","7032.00","0.001069"
